,hand_idx,pos_idx,hand_num_1,hand_suit_1,hand_num_2,hand_suit_2,board_num_1,board_suit_1,board_num_2,board_suit_2,board_num_3,board_suit_3,board_num_4,board_suit_4,board_num_5,board_suit_5,stage,current_stack,pot,action_type,action_value,current_bet,num_active_players,net_stack
93,41,0,T,h,K,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,32455.81079945933,50,player_1,CHECK,0,2,10.0
94,41,0,T,h,K,h,K,d,A,s,8,h,_,_,_,_,FLOP,32435.81079945933,50,player_1,RAISE,0,2,10.0
95,42,0,Q,d,K,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,32475.81079945933,50,player_1,CHECK,0,2,30.0
96,42,0,Q,d,K,c,6,s,J,d,A,d,_,_,_,_,FLOP,32475.81079945933,50,player_1,CHECK,0,2,30.0
97,42,0,Q,d,K,c,6,s,J,d,A,d,7,h,_,_,TURN,32455.81079945933,50,player_1,RAISE,0,2,30.0
98,43,0,5,c,T,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,32495.81079945933,133381.8825116645,player_1,FOLD,133331.8825116645,1,-30.0
99,44,0,2,s,Q,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,32475.81079945933,50,player_1,CHECK,0,2,-20.0
100,44,0,2,s,Q,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,32475.81079945933,69206.7001984195,player_1,FOLD,69156.7001984195,1,-20.0
101,45,0,8,s,8,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,32445.81079945933,50,player_1,CHECK,0,2,-10.0
102,45,0,8,s,8,c,T,s,A,s,6,s,_,_,_,_,FLOP,32445.81079945933,50,player_1,CHECK,0,2,-10.0
103,45,0,8,s,8,c,T,s,A,s,6,s,4,s,_,_,TURN,32445.81079945933,50,player_1,CHECK,0,2,-10.0
104,45,0,8,s,8,c,T,s,A,s,6,s,4,s,Q,d,RIVER,32445.81079945933,50,player_1,CHECK,0,2,-10.0
105,46,0,3,s,Q,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,32445.81079945933,50,player_1,CHECK,0,2,-20.0
106,46,0,3,s,Q,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,32445.81079945933,67352.19984070824,player_1,FOLD,67302.19984070824,1,-20.0
107,47,0,6,c,8,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,32415.81079945933,135954.85535662415,player_1,FOLD,135904.85535662415,1,-30.0
108,48,0,5,d,A,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,32395.81079945933,50,player_1,CHECK,0,2,-20.0
109,48,0,5,d,A,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,32395.81079945933,62545.17038352854,player_1,FOLD,62495.17038352854,1,-20.0
110,49,0,3,d,9,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,32365.81079945933,50,player_1,CHECK,0,2,10.0
111,49,0,3,d,9,s,8,h,T,h,T,c,_,_,_,_,FLOP,32365.81079945933,50,player_1,CHECK,0,2,10.0
112,49,0,3,d,9,s,8,h,T,h,T,c,3,s,_,_,TURN,32345.81079945933,50,player_1,RAISE,0,2,10.0
113,50,0,3,s,J,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,32365.81079945933,50,player_1,RAISE,0,2,32445.81079945933
114,50,0,3,s,J,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,7864.976244824651,24570.83455463468,player_1,CALL,24500.83455463468,2,32445.81079945933
115,50,0,3,s,J,s,4,h,2,c,3,d,_,_,_,_,FLOP,7844.976244824651,49071.66910926936,player_1,RAISE,0,2,32445.81079945933
116,50,0,3,s,J,s,4,h,2,c,3,d,_,_,_,_,FLOP,0.0,165226.81627222575,player_1,CALL,116135.14716295639,2,32445.81079945933
117,50,0,3,s,J,s,4,h,2,c,3,d,9,c,_,_,TURN,0.0,173071.7925170504,player_1,ALL_IN,0,2,32445.81079945933
118,50,0,3,s,J,s,4,h,2,c,3,d,9,c,_,_,TURN,0.0,180445.73807510824,player_1,ALL_IN,7373.94555805784,2,32445.81079945933
119,50,0,3,s,J,s,4,h,2,c,3,d,9,c,K,s,RIVER,0.0,180445.73807510824,player_1,ALL_IN,0,2,32445.81079945933
120,50,0,3,s,J,s,4,h,2,c,3,d,9,c,K,s,RIVER,0.0,195082.4738741614,player_1,ALL_IN,14636.735799053167,2,32445.81079945933
121,51,0,3,d,6,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,64801.62159891866,50,player_1,RAISE,0,2,10.0
