,hand_idx,pos_idx,hand_num_1,hand_suit_1,hand_num_2,hand_suit_2,board_num_1,board_suit_1,board_num_2,board_suit_2,board_num_3,board_suit_3,board_num_4,board_suit_4,board_num_5,board_suit_5,stage,current_stack,pot,action_type,action_value,current_bet,num_active_players,net_stack
30,13,1,6,d,K,c,4,h,9,h,J,s,5,s,9,c,RIVER,1081.4502861914898,196614.0564132731,rl_bot,RAISE,0,2,-1219.1894379862642
31,14,1,3,d,7,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,197491.6211240275,50,rl_bot,CHECK,0,2,-30.0
32,14,1,3,d,7,s,6,d,9,c,6,s,_,_,_,_,FLOP,197491.6211240275,70,rl_bot,FOLD,20,1,-30.0
33,15,1,4,s,K,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,197471.6211240275,50,rl_bot,CHECK,0,2,10.0
34,15,1,4,s,K,c,T,d,9,d,7,h,_,_,_,_,FLOP,197471.6211240275,50,rl_bot,CHECK,0,2,10.0
35,15,1,4,s,K,c,T,d,9,d,7,h,6,h,_,_,TURN,197471.6211240275,50,rl_bot,CHECK,0,2,10.0
36,15,1,4,s,K,c,T,d,9,d,7,h,6,h,3,s,RIVER,197471.6211240275,50,rl_bot,CHECK,0,2,10.0
37,16,1,2,d,5,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,197471.6211240275,50,rl_bot,CHECK,0,2,-30.0
38,16,1,2,d,5,s,K,d,9,d,2,c,_,_,_,_,FLOP,197471.6211240275,70,rl_bot,FOLD,20,1,-30.0
39,17,1,2,c,3,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,197451.6211240275,50,rl_bot,CHECK,0,2,-10.0
40,17,1,2,c,3,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,197451.6211240275,70,rl_bot,FOLD,20,1,-10.0
41,18,1,2,h,7,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,197431.6211240275,70,rl_bot,FOLD,20,1,-30.0
42,19,1,J,s,J,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,130756.98586910224,50,rl_bot,RAISE,0,2,30.0
43,20,1,9,h,Q,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,17291.42973226437,70,rl_bot,RAISE,20,2,40.0
44,21,1,2,s,A,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,197481.6211240275,50,rl_bot,CHECK,0,2,-10.0
45,21,1,2,s,A,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,197481.6211240275,70,rl_bot,FOLD,20,1,-10.0
46,22,1,5,d,9,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,73813.22015837517,50,rl_bot,RAISE,0,2,20.0
47,23,1,6,s,T,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,197491.6211240275,50,rl_bot,CHECK,0,2,-10.0
48,23,1,6,s,T,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,197491.6211240275,70,rl_bot,FOLD,20,1,-10.0
49,24,1,9,s,Q,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,21470.5382888671,70,rl_bot,RAISE,20,2,2498.3788759724994
50,24,1,9,s,Q,s,4,s,8,s,K,d,_,_,_,_,FLOP,16504.912489964616,178529.46171113293,rl_bot,RAISE,0,2,2498.3788759724994
51,24,1,9,s,Q,s,4,s,8,s,K,d,J,h,_,_,TURN,16090.029282552792,183495.0875100354,rl_bot,RAISE,0,2,2498.3788759724994
